{'time': 95.33, 'color': 'peach', 'zone': 1, 'Event': 'Exit'}
{'time': 95.37, 'color': 'peach', 'zone': 1, 'Event': 'Entry'}
{'time': 98.07, 'color': 'dark-green', 'zone': 1, 'Event': 'Entry'}
{'time': 98.2, 'color': 'dark-green', 'zone': 1, 'Event': 'Exit'}
{'time': 98.2, 'color': 'dark-green', 'zone': 4, 'Event': 'Entry'}
{'time': 99.67, 'color': 'peach', 'zone': 1, 'Event': 'Exit'}
{'time': 99.7, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 99.73, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 100.47, 'color': 'yellow', 'zone': 3, 'Event': 'Entry'}
{'time': 100.77, 'color': 'peach', 'zone': 1, 'Event': 'Entry'}
